setting_id,n_estimators,max_features,min_samples_leaf,class_weight,class,f1_score_s1s2,user_accuracy_s1s2,producer_accuracy_s1s2,support_s1s2,f1_score_s2_only,user_accuracy_s2_only,producer_accuracy_s2_only,support_s2_only,f1_score_delta,user_accuracy_delta,producer_accuracy_delta
rf_13,500,sqrt,1,balanced,Winter barley,0.7963386727688787,0.8018433179723502,0.7909090909090909,220.0,0.7522935779816514,0.7592592592592593,0.7454545454545455,220.0,0.04404509478722729,0.0425840587130909,0.045454545454545414
rf_13,500,sqrt,1,balanced,Spring barley,0.8392857142857143,0.8281938325991189,0.8506787330316742,221.0,0.7682403433476395,0.7306122448979592,0.8099547511312217,221.0,0.07104537093807484,0.09758158770115977,0.040723981900452455
rf_13,500,sqrt,1,balanced,Beet (sugar beet / fodder beet),0.8235294117647058,0.8310502283105022,0.8161434977578476,223.0,0.7793427230046949,0.8177339901477833,0.7443946188340808,223.0,0.04418668876001097,0.013316238162718985,0.0717488789237668
rf_13,500,sqrt,1,balanced,Maize,0.697986577181208,0.6782608695652174,0.7188940092165899,217.0,0.6307053941908713,0.5735849056603773,0.7004608294930875,217.0,0.0672811829903367,0.10467596390484002,0.018433179723502335
rf_13,500,sqrt,1,balanced,Oilseed rape,0.9021479713603818,0.8915094339622641,0.9130434782608695,207.0,0.815,0.844559585492228,0.7874396135265701,207.0,0.08714797136038188,0.04694984847003614,0.1256038647342994
rf_13,500,sqrt,1,balanced,Potatoes,0.782608695652174,0.8059701492537313,0.7605633802816901,213.0,0.6934673366834171,0.745945945945946,0.647887323943662,213.0,0.08914135896875686,0.06002420330778535,0.11267605633802813
rf_13,500,sqrt,1,balanced,Pulses / field beans and peas,0.6620370370370371,0.65,0.6745283018867925,212.0,0.526829268292683,0.5454545454545454,0.5094339622641509,212.0,0.13520776874435414,0.10454545454545461,0.16509433962264153
rf_14,500,sqrt,1,balanced_subsample,Winter wheat,0.8077858880778589,0.8258706467661692,0.7904761904761904,210.0,0.7482352941176471,0.7395348837209302,0.7571428571428571,210.0,0.059550593960211784,0.08633576304523893,0.033333333333333326
rf_14,500,sqrt,1,balanced_subsample,Winter barley,0.7871853546910755,0.7926267281105991,0.7818181818181819,220.0,0.7636363636363637,0.7636363636363637,0.7636363636363637,220.0,0.023548991054711865,0.02899036447423542,0.018181818181818188
rf_14,500,sqrt,1,balanced_subsample,Spring barley,0.8482142857142857,0.8370044052863436,0.8597285067873304,221.0,0.7811158798283262,0.7428571428571429,0.8235294117647058,221.0,0.0670984058859595,0.09414726242920068,0.03619909502262453
rf_14,500,sqrt,1,balanced_subsample,Beet (sugar beet / fodder beet),0.8291571753986332,0.8425925925925926,0.8161434977578476,223.0,0.7706855791962175,0.815,0.7309417040358744,223.0,0.05847159620241571,0.027592592592592613,0.08520179372197312
