class,user_accuracy,producer_accuracy,f1_score,support,setting_id,n_estimators,max_features,min_samples_leaf,class_weight,model,reference_note
Maize,0.5703125,0.6728110599078341,0.6173361522198731,217.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8418367346938775,0.7971014492753623,0.8188585607940446,207.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7340425531914894,0.647887323943662,0.6882793017456359,213.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5483870967741935,0.4811320754716981,0.5125628140703518,212.0,rf_06,300,sqrt,5,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8274111675126904,0.7761904761904762,0.800982800982801,210.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7853881278538812,0.7818181818181819,0.7835990888382688,220.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8385650224215246,0.8461538461538461,0.8423423423423423,221.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8537735849056604,0.8116591928251121,0.832183908045977,223.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6754385964912281,0.7096774193548387,0.6921348314606741,217.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8862559241706162,0.9033816425120773,0.8947368421052632,207.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7922705314009661,0.7699530516431925,0.780952380952381,213.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6238938053097345,0.6650943396226415,0.6438356164383562,212.0,rf_06,300,sqrt,5,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7293577981651376,0.7571428571428571,0.7429906542056075,210.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7641509433962265,0.7363636363636363,0.75,220.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7131474103585658,0.8099547511312217,0.7584745762711864,221.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8097560975609757,0.7443946188340808,0.7757009345794392,223.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.584,0.6728110599078341,0.6252676659528907,217.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8541666666666666,0.7922705314009661,0.8220551378446115,207.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7228260869565217,0.6244131455399061,0.6700251889168766,213.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5402843601895735,0.5377358490566038,0.5390070921985816,212.0,rf_07,300,log2,1,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8190954773869347,0.7761904761904762,0.7970660146699267,210.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7953488372093023,0.7772727272727272,0.7862068965517242,220.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8222222222222222,0.8371040723981901,0.8295964125560538,221.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8280542986425339,0.820627802690583,0.8243243243243243,223.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6696035242290749,0.7004608294930875,0.6846846846846847,217.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.9033816425120773,0.9033816425120773,0.9033816425120773,207.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8181818181818182,0.7605633802816901,0.7883211678832117,213.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6363636363636364,0.6933962264150944,0.6636568848758465,212.0,rf_07,300,log2,1,balanced,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7318181818181818,0.7666666666666667,0.7488372093023256,210.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7685185185185185,0.7545454545454545,0.7614678899082569,220.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.714859437751004,0.8054298642533937,0.7574468085106383,221.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.803921568627451,0.7354260089686099,0.7681498829039812,223.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5823293172690763,0.6682027649769585,0.6223175965665236,217.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8481675392670157,0.782608695652174,0.8140703517587939,207.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7354497354497355,0.6525821596244131,0.6915422885572139,213.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.5560975609756098,0.5377358490566038,0.5467625899280576,212.0,rf_08,300,log2,1,balanced_subsample,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.8290155440414507,0.7619047619047619,0.794044665012407,210.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.7737556561085973,0.7772727272727272,0.7755102040816326,220.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.8209606986899564,0.8506787330316742,0.8355555555555556,221.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8288288288288288,0.8251121076233184,0.8269662921348314,223.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.6946902654867256,0.7235023041474654,0.708803611738149,217.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8909952606635071,0.9082125603864735,0.8995215311004785,207.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.8118811881188119,0.7699530516431925,0.7903614457831325,213.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Pulses / field beans and peas,0.6438356164383562,0.6650943396226415,0.654292343387471,212.0,rf_08,300,log2,1,balanced_subsample,S1+S2,CROME treated as a reference crop-map product rather than direct ground truth
Winter wheat,0.7142857142857143,0.7380952380952381,0.7259953161592506,210.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Winter barley,0.730593607305936,0.7272727272727273,0.7289293849658315,220.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Spring barley,0.7182539682539683,0.8190045248868778,0.7653276955602537,221.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Beet (sugar beet / fodder beet),0.8048780487804879,0.7399103139013453,0.7710280373831776,223.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Maize,0.5714285714285714,0.663594470046083,0.6140724946695096,217.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Oilseed rape,0.8131313131313131,0.7777777777777778,0.7950617283950617,207.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
Potatoes,0.7311827956989247,0.6384976525821596,0.681704260651629,213.0,rf_09,300,log2,3,balanced,S2-only,CROME treated as a reference crop-map product rather than direct ground truth
