grid_id,grid_area_ha,selected_crop_area_ha,selected_crop_intensity,retained_for_clustering,prop_winter_wheat,prop_winter_barley,prop_spring_barley,prop_beet_sugar_beet___fodder_beet,prop_maize,prop_oilseed_rape,prop_potatoes,prop_pulses___field_beans_and_peas
g0129,10000.0,4981.312033286923,0.4981312033286923,True,0.3852705437110187,0.20993215545988927,0.103541834369326,0.05746493220923915,0.0722884581969554,0.10419910098945746,0.010089015568043924,0.057213959496070006
g0130,10000.0,6335.16056320976,0.633516056320976,True,0.3529235259650815,0.13058046139329693,0.12083013607270801,0.13412013734370068,0.05290410808154381,0.11363423173245611,0.017304788373231822,0.07770261103798126
g0131,10000.0,4959.5434550916725,0.4959543455091672,True,0.2378447799786001,0.20055102182060633,0.18105083872996625,0.16359295500549292,0.05705730611041483,0.08246224940383538,0.04066521766171132,0.03677563128937305
g0132,5022.197034749578,2014.5383028971373,0.4011268950537279,True,0.15666860923768733,0.25680897965000204,0.21622806461293717,0.19023584378923936,0.025170699152187233,0.05339705802957794,0.07089857636036827,0.0305921691680005
g0133,6339.4748446289805,2743.922812778259,0.43283124864877476,True,0.3995778864116258,0.10948277338013862,0.1530037420248825,0.08361039489953659,0.02223436083932622,0.02918206280942098,0.08076342490219815,0.12214535473287139
g0134,9785.615767771593,2628.7157432690083,0.2686305906191968,True,0.4316082704431572,0.2206854251771812,0.07184162924779745,0.05986278047945588,0.003920259435761295,0.09581566010237753,0.028854504891466213,0.08741147022280321
g0135,10000.0,6133.600388999888,0.6133600388999888,True,0.6077690168199172,0.12996609441093898,0.06140055156683963,0.047582944720550746,0.008506158568306771,0.06807177746739836,0.0037084070350486315,0.07299504941099966
g0136,10000.0,7137.30256962988,0.713730256962988,True,0.54417381610326,0.12567454448704024,0.09044076583367214,0.06800201670215428,0.0018189659386755861,0.1032916111452998,0.0004980972638972196,0.06610018252600079
g0137,10000.0,5842.027594879233,0.5842027594879233,True,0.5230895951018624,0.1635519193473633,0.06123894630929416,0.07152282358953856,0.025541236658689816,0.10335232035822872,0.01941970272508698,0.03228345590993602
g0138,10000.0,6307.351731551397,0.6307351731551397,True,0.47222084351402444,0.148197048033196,0.07586202213942804,0.05397763094813011,0.044543737040675,0.12002696830547024,0.006693082446228683,0.07847866757284741
g0139,10000.0,5780.925846631968,0.5780925846631968,True,0.49770864563327044,0.1741380472789603,0.08081982009928773,0.04134743829365196,0.03209321827873248,0.13809755386104638,0.0020493202360878605,0.03374595631896276
g0140,10000.0,3946.106830911864,0.3946106830911864,True,0.38420705897317486,0.21194636770720768,0.11324322116063307,0.03355893436438696,0.06491847678109736,0.14068746757116393,0.02564700090044163,0.02579147254189435
g0141,10000.0,2551.7926017790646,0.2551792601779065,True,0.20035312709601083,0.2646521895447403,0.09468265753413212,0.11412767446809943,0.11513837932311326,0.11290633860225704,0.06322233301556503,0.03491730041608193
g0142,10000.0,5198.224634516668,0.5198224634516668,True,0.20192424802275946,0.24501783477534572,0.13104532321143725,0.1523823990386445,0.010437531226357119,0.11849327999106807,0.07867081726147597,0.062028566472911856
g0143,10000.0,6326.38390054306,0.632638390054306,True,0.3067110470074187,0.1417023573153248,0.15579272869891217,0.14197046930273985,0.008731922701868986,0.11011577940611904,0.0818186377366123,0.05315705783100425
g0144,3467.010681524045,965.3188389431006,0.2784297273981172,True,0.15832508659958314,0.2623605718278507,0.24580346681269777,0.25512817960305467,0.0,0.026383480424109707,0.030087603094204288,0.02191161163849974
g0145,5673.733199568551,2073.8628075659803,0.3655199732908984,True,0.4985794786985256,0.13504758051284632,0.06425845730079781,0.09705966840770505,0.016488753840503304,0.028604974828061635,0.07451063198963492,0.08545045442192531
g0146,9447.061626980158,2589.3324673973884,0.27408866054207087,True,0.3042489728668572,0.15740261002459235,0.04325514379194361,0.13462766686716246,0.035589015831645025,0.027153840813984583,0.1501353454948185,0.1475874043089964
g0147,9985.695576317565,5310.85227524416,0.5318460025798872,True,0.5280377825013852,0.16248697229182116,0.03775089611062679,0.07569483919873596,0.008356644445907457,0.11046095125957393,0.003814475984278313,0.07339743820767135
g0148,10000.0,7312.139645537668,0.7312139645537667,True,0.5912544469977263,0.04188133105336179,0.0693253516805294,0.06440467948865357,0.016113151378770254,0.12608938937148131,0.0,0.09093165002947744
g0149,10000.0,7368.142986049972,0.7368142986049973,True,0.5875597997844275,0.10802688351134916,0.050921169469583236,0.06033618442357085,0.032388350437187935,0.08542605192945747,0.0,0.0753415604444236
g0150,10000.0,6037.528254973328,0.6037528254973328,True,0.5501903024890321,0.12976367676387815,0.06372024436883741,0.047493781594217674,0.029393229045714706,0.09692464304200282,0.0,0.08251412269631721
g0151,10000.0,5568.696288452468,0.5568696288452468,True,0.53793914706,0.11620758548790713,0.08059116492472905,0.04487772825542913,0.028390979892525512,0.12864176405092118,0.0013967508824111825,0.06195487944607688
g0152,9933.81255187404,2950.839939678819,0.29705009272820787,True,0.4004622866714305,0.14206082873488357,0.1418234375162443,0.10293511898598194,0.04761924541082933,0.08284865535658116,0.04172541059034012,0.04052501673370893
g0153,10000.0,3442.93972636725,0.344293972636725,True,0.13528072727897825,0.2723993245002484,0.21925250721287515,0.11978615512725105,0.034172338460745265,0.09418029746522552,0.10627472713618874,0.01865392281848775
g0154,10000.0,5967.224054877999,0.5967224054877999,True,0.30681305762835326,0.1904164253213046,0.1188388084636045,0.14742651843098178,0.035775348861626574,0.07227594916906482,0.09395371663153317,0.03450017549353135
g0155,9601.305080960472,6086.1488066321635,0.6338876595746432,True,0.28777768815329785,0.1764730288347858,0.16681715605360886,0.17690894226737994,0.007445557021931385,0.08028601527730049,0.06292569494372736,0.041365917447968345
g0156,1064.3231492533857,198.3799191380217,0.18639068339083262,False,0.2606750144753168,0.18546925651580057,0.3155314685376597,0.10579431963498195,0.0,0.04040510371983107,0.09212483711640994,0.0
g0157,1681.9701294830572,832.944613794521,0.4952196232227508,True,0.5189519958300137,0.10304740147941946,0.03043982663744207,0.1076072512430679,0.12811623153195215,0.06827322105665659,0.026572886938786722,0.016991185282661244
g0158,8086.352376781066,2867.530273093658,0.3546135685760377,True,0.21400795243728896,0.23436279795732995,0.08159728114499472,0.11036249232322377,0.1029337387605339,0.020591368400388797,0.1422298501632472,0.09391451881299256
g0159,9927.480194987353,3385.9548523578933,0.3410689103230396,True,0.2984079835420593,0.13852298502871388,0.03988574403125663,0.09522368623424253,0.161922420941515,0.05351264994616171,0.13170367254417806,0.08082085773187296
g0160,10000.0,6308.9990614797425,0.6308999061479742,True,0.4850761306726949,0.14226228276510194,0.10734879426959461,0.04865830723596078,0.009802310710663705,0.09202256193467458,0.01455868644500286,0.10027092596630656
